Reaction name	!	Stoichiometry	!	Enzyme discription	!	Compartment	!	Subsystem(Pathway)	!	Gene
2AGPE180tipp	!	2AGPE180_P  -> 2AGPE180_C	!	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0) transporter via facilitated diffusion (periplasm)	!	Intercompartmental	!	Transport, Inner Membrane	!	b2835
2AGPE181tipp	!	2AGPE181_P  -> 2AGPE181_C	!	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1) transporter via facilitated diffusion (periplasm)	!	Intercompartmental	!	Transport, Inner Membrane	!	b2835
2AGPEAT120	!	2AGPE120 + ATP + DDCA -> AMP + PE120 + PPI	!	2-acyl-glycerophospho-ethanolamine acyltransferase (n-C12:0)	!	Cytosol	!	Glycerophospholipid Metabolism	!	b2836
2AGPEAT140	!	2AGPE140 + ATP + TTDCA -> AMP + PE140 + PPI	!	2-acyl-glycerophospho-ethanolamine acyltransferase (n-C14:0)	!	Cytosol	!	Glycerophospholipid Metabolism	!	b2836
2AGPEAT141	!	2AGPE141 + ATP + TTDCEA -> AMP + PE141 + PPI	!	2-acyl-glycerophospho-ethanolamine acyltransferase (n-C14:1)	!	Cytosol	!	Glycerophospholipid Metabolism	!	b2836
2AGPEAT160	!	2AGPE160 + ATP + HDCA -> AMP + PE160 + PPI	!	2-acyl-glycerophospho-ethanolamine acyltransferase (n-C16:0)	!	Cytosol	!	Glycerophospholipid Metabolism	!	b2836
2AGPEAT161	!	2AGPE161 + ATP + HDCEA -> AMP + PE161 + PPI	!	2-acyl-glycerophospho-ethanolamine acyltransferase (n-C16:1)	!	Cytosol	!	Glycerophospholipid Metabolism	!	b2836
2AGPEAT180	!	2AGPE180 + ATP + OCDCA -> AMP + PE180 + PPI	!	2-acyl-glycerophospho-ethanolamine acyltransferase (n-C18:0)	!	Cytosol	!	Glycerophospholipid Metabolism	!	b2836
2AGPEAT181	!	2AGPE181 + ATP + OCDCEA -> AMP + PE181 + PPI	!	2-acyl-glycerophospho-ethanolamine acyltransferase (n-C18:1)	!	Cytosol	!	Glycerophospholipid Metabolism	!	b2836
2AGPG120tipp	!	2AGPG120_P  -> 2AGPG120_C	!	2-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0) transporter via facilitated diffusion (periplasm)	!	Intercompartmental	!	Transport, Inner Membrane	!	b2835
2AGPG140tipp	!	2AGPG140_P  -> 2AGPG140_C	!	2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0) transporter via facilitated diffusion (periplasm)	!	Intercompartmental	!	Transport, Inner Membrane	!	b2835
2AGPG141tipp	!	2AGPG141_P  -> 2AGPG141_C	!	2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:1) transporter via facilitated diffusion (periplasm)	!	Intercompartmental	!	Transport, Inner Membrane	!	b2835
2AGPG160tipp	!	2AGPG160_P  -> 2AGPG160_C	!	2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0) transporter via facilitated diffusion (periplasm)	!	Intercompartmental	!	Transport, Inner Membrane	!	b2835
2AGPG161tipp	!	2AGPG161_P  -> 2AGPG161_C	!	2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1) transporter via facilitated diffusion (periplasm)	!	Intercompartmental	!	Transport, Inner Membrane	!	b2835
2AGPG180tipp	!	2AGPG180_P  -> 2AGPG180_C	!	2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0) transporter via facilitated diffusion (periplasm)	!	Intercompartmental	!	Transport, Inner Membrane	!	b2835
2AGPG181tipp	!	2AGPG181_P  -> 2AGPG181_C	!	2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1) transporter via facilitated diffusion (periplasm)	!	Intercompartmental	!	Transport, Inner Membrane	!	b2835
2AGPGAT120	!	2AGPG120 + ATP + DDCA -> AMP + PG120 + PPI	!	2-acyl-glycerophospho-glycerol acyltransferase (n-C12:0)	!	Cytosol	!	Glycerophospholipid Metabolism	!	b2836
2AGPGAT140	!	2AGPG140 + ATP + TTDCA -> AMP + PG140 + PPI	!	2-acyl-glycerophospho-glycerol acyltransferase (n-C14:0)	!	Cytosol	!	Glycerophospholipid Metabolism	!	b2836
2AGPGAT141	!	2AGPG141 + ATP + TTDCEA -> AMP + PG141 + PPI	!	2-acyl-glycerophospho-glycerol acyltransferase (n-C14:1)	!	Cytosol	!	Glycerophospholipid Metabolism	!	b2836
2AGPGAT160	!	2AGPG160 + ATP + HDCA -> AMP + PG160 + PPI	!	2-acyl-glycerophospho-glycerol acyltransferase (n-C16:0)	!	Cytosol	!	Glycerophospholipid Metabolism	!	b2836
2AGPGAT161	!	2AGPG161 + ATP + HDCEA -> AMP + PG161 + PPI	!	2-acyl-glycerophospho-glycerol acyltransferase (n-C16:1)	!	Cytosol	!	Glycerophospholipid Metabolism	!	b2836
2AGPGAT180	!	2AGPG180 + ATP + OCDCA -> AMP + PG180 + PPI	!	2-acyl-glycerophospho-glycerol acyltransferase (n-C18:0)	!	Cytosol	!	Glycerophospholipid Metabolism	!	b2836
2AGPGAT181	!	2AGPG181 + ATP + OCDCEA -> AMP + PG181 + PPI	!	2-acyl-glycerophospho-glycerol acyltransferase (n-C18:1)	!	Cytosol	!	Glycerophospholipid Metabolism	!	b2836
2DGLCNRx	!	2DHGLCN + H + NADH -> GLCN + NAD	!	2-dehydro-D-gluconate reductase (NADH)	!	Cytosol	!	Alternate Carbon Metabolism	!	b3553
2DGLCNRy	!	2DHGLCN + H + NADPH -> GLCN + NADP	!	2-dehydro-D-gluconate reductase (NADPH)	!	Cytosol	!	Alternate Carbon Metabolism	!	b3553
2DGULRx	!	2DHGULN + H + NADH -> IDON_L + NAD	!	2-dehydro-L-gulonate reductase (NADH)	!	Cytosol	!	Alternate Carbon Metabolism	!	b3553
2DGULRy	!	2DHGULN + H + NADPH -> IDON_L + NADP	!	2-dehydro-L-gulonate reductase (NADPH)	!	Cytosol	!	Alternate Carbon Metabolism	!	b3553
2MAHMP	!	2MAHMP + H2O -> 4AMPM + H + PI	!	2-Methyl-4-amino-5-hydroxymethylpyrimidine diphosphatase	!	Cytosol	!	Cofactor and Prosthetic Group Biosynthesis	!	( b0446  ||  b1134 )
34dhpactex	!	34DHPAC_E  <-> 34DHPAC_P	!	dihydroxyphenylacetaldehyde transport via diffusion (extracellular to periplasm)	!	Intercompartmental	!	Transport, Outer Membrane Porin	!	( b0241  ||  b0929  ||  b1377  ||  b2215 )
3AMPtex	!	3AMP_E  <-> 3AMP_P	!	3AMP transport via diffusion (extracellular to periplasm)	!	Intercompartmental	!	Transport, Outer Membrane Porin	!	( b0241  ||  b0929  ||  b1377  ||  b2215 )
3CMPtex	!	3CMP_E  <-> 3CMP_P	!	3CMP transport via diffusion (extracellular to periplasm)	!	Intercompartmental	!	Transport, Outer Membrane Porin	!	( b0241  ||  b0929  ||  b1377  ||  b2215 )
3GMPtex	!	3GMP_E  <-> 3GMP_P	!	3GMP transport via diffusion (extracellular to periplasm)	!	Intercompartmental	!	Transport, Outer Membrane Porin	!	( b0241  ||  b1377  ||  b2215  ||  b0929 )
3HAD100	!	3HDECACP -> H2O + TDEC2EACP	!	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C10:0)	!	Cytosol	!	Cell Envelope Biosynthesis	!	( b0954  ||  b0180 )
3HAD120	!	3HDDECACP -> H2O + TDDEC2EACP	!	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C12:0)	!	Cytosol	!	Cell Envelope Biosynthesis	!	( b0954  ||  b0180 )
3HAD121	!	3HCDDEC5EACP -> H2O + T3C5DDECEACP	!	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C12:1)	!	Cytosol	!	Cell Envelope Biosynthesis	!	( b0954  ||  b0180 )
3HAD140	!	3HMRSACP -> H2O + TMRS2EACP	!	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C14:0)	!	Cytosol	!	Cell Envelope Biosynthesis	!	( b0954  ||  b0180 )
3HAD141	!	3HCMRS7EACP -> H2O + T3C7MRSEACP	!	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C14:1)	!	Cytosol	!	Cell Envelope Biosynthesis	!	( b0954  ||  b0180 )
3HAD160	!	3HPALMACP -> H2O + TPALM2EACP	!	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C16:0)	!	Cytosol	!	Cell Envelope Biosynthesis	!	( b0954  ||  b0180 )
3HAD161	!	3HCPALM9EACP -> H2O + T3C9PALMEACP	!	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C16:1)	!	Cytosol	!	Cell Envelope Biosynthesis	!	( b0954  ||  b0180 )
3HAD180	!	3HOCTAACP -> H2O + TOCTD2EACP	!	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C18:0)	!	Cytosol	!	Cell Envelope Biosynthesis	!	( b0954  ||  b0180 )
3HAD181	!	3HCVAC11EACP -> H2O + T3C11VACEACP	!	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C18:1)	!	Cytosol	!	Cell Envelope Biosynthesis	!	( b0180  ||  b0954 )
3HAD40	!	3HAACP -> BUT2EACP + H2O	!	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C4:0)	!	Cytosol	!	Cell Envelope Biosynthesis	!	( b0954  ||  b0180 )
3HAD60	!	3HHEXACP -> H2O + THEX2EACP	!	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C6:0)	!	Cytosol	!	Cell Envelope Biosynthesis	!	( b0954  ||  b0180 )
3HAD80	!	3HOCTACP -> H2O + TOCT2EACP	!	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C8:0)	!	Cytosol	!	Cell Envelope Biosynthesis	!	( b0954  ||  b0180 )
3HCINNMH	!	3HCINNM + H + NADH + O2 -> DHCINNM + H2O + NAD	!	3-hydroxycinnamate hydroxylase	!	Cytosol	!	Alternate Carbon Metabolism	!	b0347
3HPPPNH	!	3HPPPN + H + NADH + O2 -> DHPPPN + H2O + NAD	!	3-(3-hydroxy-phenyl)propionate hydroxylase	!	Cytosol	!	Alternate Carbon Metabolism	!	b0347
3KGK	!	3DHGULN + ATP -> 3DHGULNP + ADP + H	!	3-keto-L-gulonate kinase	!	Cytosol	!	Alternate Carbon Metabolism	!	b3580
3NTD2pp	!	3UMP + H2O -> PI + URI	!	3'-nucleotidase (UMP) (periplasm)	!	Periplasmic space	!	Nucleotide Salvage Pathway	!	b4213
3NTD4pp	!	3CMP + H2O -> CYTD + PI	!	3'-nucleotidase (CMP) (periplasm)	!	Periplasmic space	!	Nucleotide Salvage Pathway	!	b4213
3NTD7pp	!	3AMP + H2O -> ADN + PI	!	3'-nucleotidase (AMP) (periplasm)	!	Periplasmic space	!	Nucleotide Salvage Pathway	!	b4213
3NTD9pp	!	3GMP + H2O -> GSN + PI	!	3'-nucleotidase (GMP) (periplasm)	!	Periplasmic space	!	Nucleotide Salvage Pathway	!	b4213
3OAR100	!	3ODECACP + H + NADPH <-> 3HDECACP + NADP	!	3-oxoacyl-[acyl-carrier-protein] reductase (n-C10:0)	!	Cytosol	!	Cell Envelope Biosynthesis	!	b1093
3OAR120	!	3ODDECACP + H + NADPH <-> 3HDDECACP + NADP	!	3-oxoacyl-[acyl-carrier-protein] reductase (n-C12:0)	!	Cytosol	!	Cell Envelope Biosynthesis	!	b1093
3OAR121	!	3OCDDEC5EACP + H + NADPH -> 3HCDDEC5EACP + NADP	!	3-oxoacyl-[acyl-carrier-protein] reductase (n-C12:1)	!	Cytosol	!	Cell Envelope Biosynthesis	!	b1093
3OAR140	!	3OMRSACP + H + NADPH <-> 3HMRSACP + NADP	!	3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:0)	!	Cytosol	!	Cell Envelope Biosynthesis	!	b1093
3OAR141	!	3OCMRS7EACP + H + NADPH -> 3HCMRS7EACP + NADP	!	3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:1)	!	Cytosol	!	Cell Envelope Biosynthesis	!	b1093
3OAR160	!	3OPALMACP + H + NADPH <-> 3HPALMACP + NADP	!	3-oxoacyl-[acyl-carrier-protein] reductase (n-C16:0)	!	Cytosol	!	Cell Envelope Biosynthesis	!	b1093
3OAR161	!	3OCPALM9EACP + H + NADPH -> 3HCPALM9EACP + NADP	!	3-oxoacyl-[acyl-carrier-protein] reductase (n-C16:1)	!	Cytosol	!	Cell Envelope Biosynthesis	!	b1093
3OAR180	!	3OOCTDACP + H + NADPH <-> 3HOCTAACP + NADP	!	3-oxoacyl-[acyl-carrier-protein] reductase (n-C18:0)	!	Cytosol	!	Cell Envelope Biosynthesis	!	b1093
3OAR181	!	3OCVAC11EACP + H + NADPH -> 3HCVAC11EACP + NADP	!	3-oxoacyl-[acyl-carrier-protein] reductase (n-C18:1)	!	Cytosol	!	Cell Envelope Biosynthesis	!	b1093
3OAR40	!	ACTACP + H + NADPH <-> 3HAACP + NADP	!	3-oxoacyl-[acyl-carrier-protein] reductase (n-C4:0)	!	Cytosol	!	Cell Envelope Biosynthesis	!	b1093
3OAR60	!	3OHEXACP + H + NADPH <-> 3HHEXACP + NADP	!	3-oxoacyl-[acyl-carrier-protein] reductase (n-C6:0)	!	Cytosol	!	Cell Envelope Biosynthesis	!	b1093
3OAR80	!	3OOCTACP + H + NADPH <-> 3HOCTACP + NADP	!	3-oxoacyl-[acyl-carrier-protein] reductase (n-C8:0)	!	Cytosol	!	Cell Envelope Biosynthesis	!	b1093
3OAS100	!	H + MALACP + OCACP -> 3ODECACP + ACP + CO2	!	3-oxoacyl-[acyl-carrier-protein] synthase (n-C10:0)	!	Cytosol	!	Cell Envelope Biosynthesis	!	( b2323  ||  b1095 )
3OAS120	!	DCAACP + H + MALACP -> 3ODDECACP + ACP + CO2	!	3-oxoacyl-[acyl-carrier-protein] synthase (n-C12:0)	!	Cytosol	!	Cell Envelope Biosynthesis	!	( b2323  ||  b1095 )
3OAS121	!	CDEC3EACP + H + MALACP -> 3OCDDEC5EACP + ACP + CO2	!	3-oxoacyl-[acyl-carrier-protein] synthase (n-C12:1)	!	Cytosol	!	Cell Envelope Biosynthesis	!	b2323
3OAS140	!	DDCAACP + H + MALACP -> 3OMRSACP + ACP + CO2	!	3-oxoacyl-[acyl-carrier-protein] synthase (n-C14:0)	!	Cytosol	!	Cell Envelope Biosynthesis	!	( b2323  ||  b1095 )
3OAS141	!	CDDEC5EACP + H + MALACP -> 3OCMRS7EACP + ACP + CO2	!	3-oxoacyl-[acyl-carrier-protein] synthase (n-C14:1)	!	Cytosol	!	Cell Envelope Biosynthesis	!	b2323
3OAS160	!	H + MALACP + MYRSACP -> 3OPALMACP + ACP + CO2	!	3-oxoacyl-[acyl-carrier-protein] synthase (n-C16:0)	!	Cytosol	!	Cell Envelope Biosynthesis	!	( b2323  ||  b1095 )
3OAS161	!	H + MALACP + TDEACP -> 3OCPALM9EACP + ACP + CO2	!	3-oxoacyl-[acyl-carrier-protein] synthase (n-C16:1)	!	Cytosol	!	Cell Envelope Biosynthesis	!	b2323
3OAS180	!	H + MALACP + PALMACP -> 3OOCTDACP + ACP + CO2	!	3-oxoacyl-[acyl-carrier-protein] synthase (n-C18:0)	!	Cytosol	!	Cell Envelope Biosynthesis	!	( b1095  ||  b2323 )
3OAS181	!	H + HDEACP + MALACP -> 3OCVAC11EACP + ACP + CO2	!	3-oxoacyl-[acyl-carrier-protein] synthase (n-C18:1)	!	Cytosol	!	Cell Envelope Biosynthesis	!	b1095
3OAS60	!	BUTACP + H + MALACP -> 3OHEXACP + ACP + CO2	!	3-oxoacyl-[acyl-carrier-protein] synthase (n-C6:0)	!	Cytosol	!	Cell Envelope Biosynthesis	!	( b2323  ||  b1095 )
3OAS80	!	H + HEXACP + MALACP -> 3OOCTACP + ACP + CO2	!	3-oxoacyl-[acyl-carrier-protein] synthase (n-C8:0)	!	Cytosol	!	Cell Envelope Biosynthesis	!	( b2323  ||  b1095 )
3PEPTabcpp	!	LALADGLUMDAP_P  + ATP_C  + H2O_C  -> LALADGLUMDAP_C  + ADP_C  + H_C  + PI_C	!	tripeptide (LalaDgluMdap) transport via ABC system (periplasm)	!	Intercompartmental	!	Murein Recycling	!	( b1329  &&  b1244  &&  b1245  &&  b1246  &&  b1247 )
3PEPTtex	!	LALADGLUMDAP_E  <-> LALADGLUMDAP_P	!	LalaDgluMdap (tripeptide) transport via diffusion (extracellular to periplasm)	!	Intercompartmental	!	Transport, Outer Membrane Porin	!	( b0241  ||  b0929  ||  b1377  ||  b2215 )
3UMPtex	!	3UMP_E  <-> 3UMP_P	!	3UMP transport via diffusion (extracellular to periplasm)	!	Intercompartmental	!	Transport, Outer Membrane Porin	!	( b0241  ||  b0929  ||  b1377  ||  b2215 )
42A12BOOXpp	!	DOPA + H2O + O2 -> 34DHPAC + H2O2 + NH4	!	4-(2-Aminoethyl)-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)	!	Periplasmic space	!	Nitrogen Metabolism	!	b1386
4HOXPACDtex	!	4HOXPACD_E  <-> 4HOXPACD_P	!	4-hydroxyphenylacetaldehyde transport via diffusion (extracellular to periplasm)	!	Intercompartmental	!	Transport, Outer Membrane Porin	!	( b0241  ||  b0929  ||  b1377  ||  b2215 )
4HTHRS	!	H2O + PHTHR -> 4HTHR + PI	!	4-Hydroxy-L-threonine synthase	!	Cytosol	!	Cofactor and Prosthetic Group Biosynthesis	!	b0004
4PCP	!	LALADGLUMDAPDALA + H2O -> LALADGLUMDAP + ALA_D	!	tetrapeptide L,D-carboxypeptidase	!	Cytosol	!	Murein Recycling	!	b1192
4PCPpp	!	LALADGLUMDAPDALA + H2O -> LALADGLUMDAP + ALA_D	!	tetrapeptide L,D-carboxypeptidase (periplasm)	!	Periplasmic space	!	Murein Recycling	!	Unknown
4PEPTabcpp	!	LALADGLUMDAPDALA_P  + ATP_C  + H2O_C  -> LALADGLUMDAPDALA_C  + ADP_C  + H_C  + PI_C	!	tetrapeptide (LalaDgluMdapDala) transport via ABC system (periplasm)	!	Intercompartmental	!	Murein Recycling	!	( b1243  &&  b1244  &&  b1245  &&  b1246  &&  b1247 )
4PEPTtex	!	LALADGLUMDAPDALA_E  <-> LALADGLUMDAPDALA_P	!	LalaDgluMdapDala (pentapeptide) transport via diffusion (extracellular to periplasm)	!	Intercompartmental	!	Transport, Outer Membrane Porin	!	( b0241  ||  b0929  ||  b1377  ||  b2215 )
5DGLCNR	!	5DGLCN + H + NADPH <-> GLCN + NADP	!	5-dehydro-D-gluconate reductase	!	Cytosol	!	Alternate Carbon Metabolism	!	b4266
5DGLCNt2rpp	!	5DGLCN_P  + H_P  <-> 5DGLCN_C  + H_C	!	5-Dehydro-D-gluconate transport via proton symport, reversible (periplasm)	!	Intercompartmental	!	Transport, Inner Membrane	!	b4265
5DGLCNtex	!	5DGLCN_E  <-> 5DGLCN_P	!	5-Dehydro-D-gluconate transport via diffusion (extracellular to periplasm)	!	Intercompartmental	!	Transport, Outer Membrane Porin	!	( b0241  ||  b1377  ||  b0929  ||  b2215 )
5DOAN	!	DAD_5 + H2O -> 5DRIB + ADE	!	5'-deoxyadenosine nuclosidase	!	Cytosol	!	Cofactor and Prosthetic Group Biosynthesis	!	b0159
A5PISO	!	RU5P_D <-> ARA5P	!	arabinose-5-phosphate isomerase	!	Cytosol	!	Alternate Carbon Metabolism	!	( b2708  ||  b3197 )
AACPS1	!	ACP + ATP + TTDCA -> AMP + MYRSACP + PPI	!	acyl-[acyl-carrier-protein] synthetase (n-C14:0)	!	Cytosol	!	Cell Envelope Biosynthesis	!	( b2836  &&  b1094 )
